"type","city","street","cost","area"
"4er WG","München Ludwigsvorstadt-Isarvorstadt","Fraunhoferstraße 10","645","17"
"3er WG","München Ludwigsvorstadt-Isarvorstadt","Raichenbachplatz","690","19"
"3er WG","München Schwanthalerhöhe-Laim","Burgkmairstraße 60","690","15"
"3er WG","München Hadern","Pelargonienweg","350","15"
"3er WG","München Milbertshofen-Am Hart","Wallensteinstraße","633","14"
"3er WG","München Neuhausen-Nymphenburg","Schulstraße","480","17"
"2er WG","München Milbertshofen-Am Hart","Silcherstr. 23","750","15"
"2er WG","München Schwanthalerhöhe-Laim","Laim","600","15"
"2er WG","München Trudering","Stieglitzweg 16a","525","28"
"3er WG","München Schwanthalerhöhe-Laim","Landsberger Str. 125","435","10"
"2er WG","München Schwanthalerhöhe-Laim","Trappentreustr.","650","18"
"2er WG","München Neuhausen-Nymphenburg","Burghausener Straße","800","18"
"1-Zimmer-Wohnung","München Schwabing-Nord","Leopoldstr.","1250","40"
"3er WG","München Maxvorstadt","Ubahn Mailingerstr.","830","15"
"5er WG","München Untermenzing","Riezlerweg","650","17"
"3er WG","München Feldmoching-Hasenbergl","Paul-Huml-Bogen","800","20"
"5er WG","München München","Wachterstrasse, 11","450","18"
"2er WG","München Bogenhausen","Stuntzstraße 7","680","12"
"3er WG","München Milbertshofen-Am Hart","Ruchsteigerstraße 25","636","11"
"3er WG","München Au-Haidhausen","Asamstr.","800","18"
"5er WG","München Milbertshofen-Am Hart","Frankfurter Ring 14b","775","35"
"6er WG","München Pasing-Obermenzing","Bodenseestr 19","689","18"
"7er WG","München Schwabing-Freimann","Ungererstr.","500","13"
"2er WG","München Haar","Hans Stießberger Straße 1.","850","21"
"4er WG","München Pasing-Obermenzing","Otto-Engel-Platz","395","15"
"4er WG","München Schwanthalerhöhe-Laim","Westendstr. 15","700","14"
"1-Zimmer-Wohnung","München Thalkirchen-Obersendling","Baierbrunnerstr 44","660","19"
