"type","city","street","cost","area"
"3er WG","Berlin Hellersdorf","Louis-Lewin Str.","275","12"
"2er WG","Berlin Reinickendorf","Alt-Reinickendorf 61","500","18"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Nähe Greifswalder Straße","750","45"
"4er WG","Berlin Friedrichshain-Kreuzberg","Friesenstraße","680","40"
"5er WG","Berlin Tempelhof","Bäumerplan","525","17"
"6er WG","Berlin Kreuzberg","Graefestrasse 60","575","28"
"2er WG","Berlin Friedrichshain","25","550","23"
"3er WG","Berlin Friedrichshain","Holteistr., 23","590","10"
"3er WG","Berlin Friedrichshain","Krossener Strasse 3","490","19"
"2er WG","Berlin Wilmersdorf","Paretzer Str. 3","440","24"
"2er WG","Berlin Charlottenburg-Wilmersdorf","Kronprinzendamm","490","30"
"5er WG","Berlin Spandau","Staakener Str 21","500","25"
"2er WG","Berlin Charlottenburg","Zillestrasse 79","450","15"
"2er WG","Berlin Prenzlauer berg","Behmastrasse","175","14"
"3er WG","Berlin Neukölln","Stuttgarter Straße 44","450","29"
"3er WG","Berlin Lichtenberg","Giselastraße","500","20"
"3er WG","Berlin Schöneberg","Feurigstr 39","600","20"
"3er WG","Berlin Prenzlauer Berg","Sredzkistrasse","710","25"
"3er WG","Berlin Steglitz-Zehlendorf","Leonorenstraße","550","24"
"3er WG","Berlin Steglitz-Zehlendorf","Leonorenstraße","500","15"
"3er WG","Berlin Prenzlauer Berg","Senefelder Str 8a","550","22"
"3er WG","Berlin Lichtenberg","Frankfurter Allee 271","600","20"
"4er WG","Berlin Green Eastern Suburb clos...","15566 Schöneiche bei Berl...","350","29"
"5er WG","Berlin Prenzlauer Berg","Lottumstr.","530","28"
"5er WG","Berlin Lichterfelde","Achenseeweg 25","350","10"
"1-Zimmer-Wohnung","Berlin Neukölln","Allerstraße","100","35"
"3er WG","Berlin Spandau","Genfenberg str. 4","490","25"
